participant_alias,consent_status,invite_date,install_date,app_version,activated,activation_date,activation_minutes,activation_template,d1_check_date,d1_returned,d7_check_date,d7_returned,paid_status,paid_date,refund_status,primary_blocker,blocker_category,next_action,next_action_date,last_contact_date,owner,notes_redacted
BETA-001,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-002,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-003,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-004,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-005,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-006,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-007,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-008,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-009,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-010,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-011,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-012,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-013,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-014,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-015,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-016,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-017,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-018,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-019,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
BETA-020,pending,,,,no,,,,,no,,no,not_offered,,none,,,invite_and_confirm_consent,,,founder,
